player_name,last_season,player_club_id,yellow_cards,red_cards,goals,assists,minutes_played
Adam Webster,2019,1237,4,0,3,1,2670
Adam Webster,2020,1237,4,0,1,0,2595
Adam Webster,2021,1237,5,0,2,0,1432
Adam Webster,2022,1237,2,0,0,0,1987
Adam Webster,2023,1237,2,0,0,0,677
Adam Wharton,2023,873,1,0,0,0,306
Adama Bojang,2023,1421,0,0,0,0,34
Adama Soumaoro,2019,252,2,0,1,0,638
Adama Soumaoro,2019,1082,0,0,1,0,414
Adama Soumaoro,2020,1025,4,0,1,0,1755
Adama Soumaoro,2020,1082,1,0,0,0,143
Adama Soumaoro,2021,1025,6,2,0,0,2267
Adama Soumaoro,2022,1025,5,0,0,0,1870
Adama Traoré,2019,162,0,0,0,0,23
Adama Traoré,2019,347,1,0,1,4,1011
Adama Traoré,2019,543,1,0,4,9,2606
Adama Traoré,2020,543,4,0,2,3,2643
Adama Traoré,2021,131,0,0,0,2,378
Adama Traoré,2021,543,0,0,1,0,1063
Adama Traoré,2022,543,2,0,2,2,1484
Adama Traoré,2023,931,1,0,0,1,73
Adel Taarabt,2019,294,8,1,1,1,1677
Adel Taarabt,2020,294,4,0,0,3,1645
Adel Taarabt,2021,294,3,1,1,4,816
Ademola Lookman,2019,23826,0,0,0,0,300
Ademola Lookman,2020,931,5,0,4,4,2756
Ademola Lookman,2021,1003,2,0,6,0,1457
Ademola Lookman,2022,800,3,0,13,8,1732
Ademola Lookman,2023,800,3,0,7,3,1164
Aderllan Santos,2019,2425,7,0,0,0,2668
Aderllan Santos,2020,2425,7,0,2,0,2790
Aderllan Santos,2022,2425,3,1,1,0,2824
Aderllan Santos,2023,2425,7,0,2,0,1858
Adi Mehremic,2019,3336,2,0,1,0,704
Adil Aouchiche,2019,583,0,0,0,0,65
Adil Aouchiche,2020,618,2,0,2,5,1736
Adil Aouchiche,2021,618,2,0,0,4,1066
Adil Aouchiche,2022,1158,0,0,0,0,241
Adil Rami,2020,2503,4,0,0,0,1799
Adil Rami,2021,1095,1,0,3,0,1173
Adil Rami,2022,1095,2,0,0,1,1600
Adil Taoui,2019,415,0,0,0,0,23
Adilson Malanda,2020,1160,0,0,0,0,18
Admir Mehmedi,2019,82,0,0,2,2,1205
Admir Mehmedi,2020,82,0,0,0,2,821
Admir Mehmedi,2021,82,0,0,0,0,3
Adnan Januzaj,2019,681,3,0,4,3,1164
Adnan Januzaj,2020,681,2,0,4,4,1010
Adnan Januzaj,2021,681,5,0,3,0,1627
Adnan Januzaj,2022,368,0,0,0,0,46
Adnan Januzaj,2023,368,0,0,0,0,187
Ado Onaiwu,2022,415,0,0,2,1,1067
Adolfo Gaich,2020,4171,1,0,2,0,771
Adolfo Gaich,2022,276,2,0,2,1,723
Adrian Beck,2023,2036,1,0,1,1,889
Adrian Grbic,2020,1158,2,0,4,0,945
Adrian Grbic,2021,1158,0,0,1,0,510
Adrian Grbic,2022,1158,0,0,0,0,23
Adrian Mariappa,2019,1010,6,0,0,0,1510
Adrian Semper,2021,252,0,0,0,0,90
Adriano Castanheira,2019,2995,2,0,1,3,1021
Adriano Castanheira,2020,2995,0,0,0,0,328
Adriano Firmino,2022,2423,8,0,1,1,2219
Adrien Hunou,2019,273,2,0,8,1,1209
Adrien Hunou,2020,273,1,0,4,0,578
Adrien Hunou,2022,1420,2,0,4,3,2249
Adrien Lebeau,2019,667,0,0,0,0,12
Adrien Lebeau,2023,3911,0,0,0,1,34
Adrien Louveau,2020,826,0,0,0,0,7
Adrien Rabiot,2019,506,7,0,1,0,1864
Adrien Rabiot,2020,506,7,0,4,2,2364
Adrien Rabiot,2021,506,5,0,0,2,2292
Adrien Rabiot,2022,506,9,0,8,4,2751
Adrien Rabiot,2023,506,6,0,4,3,1919
Adrien Silva,2019,162,7,0,0,2,1216
Adrien Silva,2020,1038,8,0,1,1,1600
Adrien Silva,2023,2425,1,0,0,0,45
Adrien Tamèze,2019,417,2,0,1,0,519
Adrien Tamèze,2019,800,0,0,0,0,207
Adrien Tamèze,2020,276,6,0,1,0,2311
Adrien Tamèze,2021,276,4,0,4,2,2573
Adrien Tamèze,2022,276,3,0,0,0,3039
Adrien Tamèze,2023,416,5,0,0,2,1498
Adrien Thomasson,2019,667,4,0,8,1,2082
Adrien Thomasson,2020,667,8,0,5,1,2639
Adrien Thomasson,2021,667,2,1,8,4,2395
Adrien Thomasson,2022,667,2,0,0,2,937
Adrien Thomasson,2022,826,1,0,5,6,1288
Adrien Thomasson,2023,826,1,1,1,1,1058
Adrien Truffert,2020,273,3,0,1,4,1959
Adrien Truffert,2021,273,4,0,3,3,1636
Adrien Truffert,2022,273,1,0,0,6,1960
Adrien Truffert,2023,273,3,0,1,2,1490
Adrià Altimira,2023,1050,3,0,0,0,778
Adrià Pedrosa,2019,714,3,0,1,0,1082
Adrià Pedrosa,2021,714,8,0,1,1,2723
Adrià Pedrosa,2022,714,0,0,0,0,226
Adrià Pedrosa,2023,368,1,0,1,4,1388
Adrián,2019,31,1,0,0,0,873
Adrián,2020,31,0,0,0,0,270
Adrián Butzke,2021,2995,3,0,2,1,578
Adrián Butzke,2021,16795,0,0,0,0,1
Adrián Butzke,2022,2995,3,0,6,1,1331
Adrián Butzke,2023,2420,0,0,0,0,197
Adrián Embarba,2019,714,4,0,2,4,1380
Adrián Embarba,2021,714,4,0,0,2,1976
Adrián Embarba,2022,714,0,0,0,0,34
Adrián Embarba,2022,3302,5,0,4,3,1473
Adrián Embarba,2023,3302,3,0,0,0,1576
Adrián Guerrero,2019,1049,1,0,0,0,127
Adrián López,2019,331,0,0,2,0,1451
Adrián López,2020,331,0,0,1,1,475
Adrián Marín,2019,1108,1,0,0,0,851
Adrián Marín,2020,1108,0,0,0,0,89
Adrián Marín,2020,16795,1,0,0,1,263
Adrián Marín,2021,3329,2,0,4,2,2304
